name,path,parent_dir,type,size_bytes
a2,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\a2,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,133
e13e920850216ed6c321e9ac7a2e0be04c0dfd,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\a2\e13e920850216ed6c321e9ac7a2e0be04c0dfd,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\a2,file,133
a3,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\a3,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,128
9a3d7a4b87f03d98e86e62dae017e45897bf91,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\a3\9a3d7a4b87f03d98e86e62dae017e45897bf91,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\a3,file,128
b7,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\b7,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,331
2f2d5240a3a7c15d4aae18cb9627d43d4dd8dd,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\b7\2f2d5240a3a7c15d4aae18cb9627d43d4dd8dd,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\b7,file,133
e7d373af2abf1472c7f816411523d45a6bb1dc,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\b7\e7d373af2abf1472c7f816411523d45a6bb1dc,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\b7,file,198
b9,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\b9,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,197
8847f3752f8d6475c015f57ab46cec9ce005d5,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\b9\8847f3752f8d6475c015f57ab46cec9ce005d5,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\b9,file,197
cb,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\cb,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,199
696d40699cbfc0c87a8abf09bd93342f1b3fc8,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\cb\696d40699cbfc0c87a8abf09bd93342f1b3fc8,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\cb,file,199
de,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\de,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,4364
8c7b6eaea72e7dd0821502dab583efc7b387d7,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\de\8c7b6eaea72e7dd0821502dab583efc7b387d7,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\de,file,4364
e6,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\e6,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,15
9de29bb2d1d6434b8b29ae775ad8c2e48c5391,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\e6\9de29bb2d1d6434b8b29ae775ad8c2e48c5391,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\e6,file,15
e8,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\e8,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,198
1541ab4ca6a26534b3b13e2565d23ec02be97a,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\e8\1541ab4ca6a26534b3b13e2565d23ec02be97a,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\e8,file,198
e9,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\e9,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,7489
8eb273a9afc206a6a3ff4654e0c2d21febf7d7,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\e9\8eb273a9afc206a6a3ff4654e0c2d21febf7d7,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\e9,file,7489
ec,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\ec,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,133
341566b6679e5ea50f04654141c885673025ec,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\ec\341566b6679e5ea50f04654141c885673025ec,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\ec,file,133
